Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
450.00	0.010000	2.6774	0.37350	45.229	48.964	154.33	193.37	201.76	212.47	11.204	9.4340e-06	0.029374	vapor
450.00	0.11000	29.984	0.033351	45.065	48.734	134.03	193.94	203.09	209.04	11.510	9.4218e-06	0.029276	vapor
450.00	0.21000	58.329	0.017144	44.896	48.496	128.27	194.53	204.55	205.48	11.842	9.4339e-06	0.029196	vapor
450.00	0.31000	87.826	0.011386	44.720	48.249	124.64	195.15	206.15	201.76	12.207	9.4759e-06	0.029136	vapor
450.00	0.41000	118.61	0.0084312	44.536	47.992	121.90	195.80	207.93	197.87	12.608	9.5515e-06	0.029098	vapor
450.00	0.51000	150.84	0.0066297	44.343	47.724	119.64	196.49	209.93	193.78	13.053	9.6600e-06	0.029086	vapor
450.00	0.61000	184.71	0.0054138	44.141	47.444	117.69	197.21	212.19	189.48	13.550	9.7984e-06	0.029103	vapor
450.00	0.71000	220.48	0.0045355	43.929	47.149	115.93	197.98	214.78	184.92	14.112	9.9619e-06	0.029156	vapor
450.00	0.81000	258.46	0.0038690	43.703	46.837	114.31	198.80	217.79	180.06	14.755	1.0146e-05	0.029250	vapor
450.00	0.91000	299.06	0.0033438	43.462	46.505	112.77	199.67	221.34	174.84	15.501	1.0348e-05	0.029397	vapor
450.00	1.0100	342.84	0.0029168	43.203	46.149	111.29	200.60	225.65	169.19	16.381	1.0565e-05	0.029609	vapor
450.00	1.1100	390.57	0.0025603	42.921	45.763	109.82	201.61	231.03	163.00	17.447	1.0798e-05	0.029907	vapor
450.00	1.2100	443.42	0.0022552	42.611	45.339	108.34	202.71	238.04	156.09	18.779	1.1050e-05	0.030324	vapor
450.00	1.2329	456.42	0.0021910	42.534	45.236	108.00	202.97	239.97	154.38	19.134	1.1111e-05	0.030442	vapor
450.00	1.2329	5569.7	0.00017954	25.744	25.965	65.177	204.59	276.67	409.02	0.48292	8.2036e-05	0.084655	liquid
450.00	1.3100	5576.9	0.00017931	25.720	25.955	65.123	204.56	276.12	411.64	0.47103	8.2329e-05	0.084750	liquid
450.00	1.4100	5586.1	0.00017902	25.690	25.942	65.055	204.52	275.45	414.98	0.45614	8.2705e-05	0.084872	liquid
450.00	1.5100	5595.1	0.00017873	25.660	25.930	64.988	204.49	274.79	418.27	0.44183	8.3076e-05	0.084993	liquid
450.00	1.6100	5603.9	0.00017845	25.630	25.918	64.922	204.45	274.17	421.51	0.42804	8.3443e-05	0.085113	liquid
450.00	1.7100	5612.6	0.00017817	25.601	25.906	64.856	204.41	273.56	424.70	0.41477	8.3805e-05	0.085231	liquid
450.00	1.8100	5621.1	0.00017790	25.573	25.895	64.792	204.38	272.98	427.84	0.40196	8.4163e-05	0.085348	liquid
450.00	1.9100	5629.5	0.00017763	25.545	25.884	64.729	204.34	272.42	430.93	0.38960	8.4518e-05	0.085464	liquid
450.00	2.0100	5637.8	0.00017737	25.517	25.874	64.666	204.31	271.88	433.98	0.37767	8.4868e-05	0.085579	liquid
450.00	2.1100	5645.9	0.00017712	25.490	25.864	64.604	204.28	271.35	436.99	0.36612	8.5215e-05	0.085693	liquid
450.00	2.2100	5653.9	0.00017687	25.463	25.854	64.543	204.25	270.85	439.96	0.35496	8.5558e-05	0.085806	liquid
450.00	2.3100	5661.8	0.00017662	25.436	25.844	64.483	204.22	270.36	442.88	0.34415	8.5897e-05	0.085918	liquid
450.00	2.4100	5669.6	0.00017638	25.410	25.835	64.423	204.19	269.88	445.77	0.33368	8.6233e-05	0.086029	liquid
450.00	2.5100	5677.3	0.00017614	25.384	25.826	64.364	204.16	269.42	448.62	0.32353	8.6566e-05	0.086139	liquid
450.00	2.6100	5684.8	0.00017591	25.359	25.818	64.306	204.13	268.98	451.44	0.31368	8.6896e-05	0.086248	liquid
450.00	2.7100	5692.3	0.00017568	25.333	25.809	64.249	204.11	268.55	454.22	0.30413	8.7223e-05	0.086356	liquid
450.00	2.8100	5699.6	0.00017545	25.308	25.801	64.192	204.08	268.13	456.97	0.29485	8.7547e-05	0.086464	liquid
450.00	2.9100	5706.9	0.00017523	25.284	25.794	64.136	204.05	267.72	459.69	0.28583	8.7868e-05	0.086570	liquid
450.00	3.0100	5714.0	0.00017501	25.259	25.786	64.080	204.03	267.32	462.37	0.27707	8.8187e-05	0.086676	liquid
450.00	3.1100	5721.1	0.00017479	25.235	25.779	64.025	204.00	266.93	465.03	0.26854	8.8502e-05	0.086781	liquid
450.00	3.2100	5728.1	0.00017458	25.211	25.772	63.970	203.98	266.56	467.65	0.26025	8.8815e-05	0.086885	liquid
450.00	3.3100	5735.0	0.00017437	25.188	25.765	63.916	203.96	266.19	470.25	0.25217	8.9126e-05	0.086988	liquid
450.00	3.4100	5741.8	0.00017416	25.164	25.758	63.863	203.94	265.84	472.82	0.24430	8.9434e-05	0.087091	liquid
450.00	3.5100	5748.5	0.00017396	25.141	25.752	63.810	203.91	265.49	475.36	0.23664	8.9740e-05	0.087193	liquid
450.00	3.6100	5755.1	0.00017376	25.119	25.746	63.758	203.89	265.15	477.87	0.22916	9.0043e-05	0.087294	liquid
450.00	3.7100	5761.7	0.00017356	25.096	25.740	63.706	203.87	264.82	480.36	0.22188	9.0344e-05	0.087395	liquid
450.00	3.8100	5768.2	0.00017336	25.074	25.734	63.655	203.85	264.50	482.83	0.21477	9.0643e-05	0.087494	liquid
450.00	3.9100	5774.6	0.00017317	25.051	25.728	63.604	203.83	264.19	485.27	0.20783	9.0940e-05	0.087594	liquid
450.00	4.0100	5781.0	0.00017298	25.029	25.723	63.553	203.81	263.88	487.69	0.20105	9.1235e-05	0.087692	liquid
450.00	4.1100	5787.3	0.00017279	25.008	25.718	63.503	203.79	263.58	490.08	0.19444	9.1528e-05	0.087790	liquid
450.00	4.2100	5793.5	0.00017261	24.986	25.713	63.454	203.78	263.29	492.46	0.18797	9.1818e-05	0.087887	liquid
450.00	4.3100	5799.6	0.00017242	24.965	25.708	63.404	203.76	263.00	494.81	0.18165	9.2107e-05	0.087984	liquid
450.00	4.4100	5805.7	0.00017224	24.944	25.703	63.356	203.74	262.72	497.14	0.17547	9.2394e-05	0.088080	liquid
450.00	4.5100	5811.7	0.00017207	24.923	25.699	63.307	203.72	262.45	499.44	0.16943	9.2679e-05	0.088176	liquid
450.00	4.6100	5817.7	0.00017189	24.902	25.694	63.259	203.71	262.18	501.73	0.16352	9.2962e-05	0.088271	liquid
450.00	4.7100	5823.6	0.00017171	24.881	25.690	63.212	203.69	261.92	504.00	0.15774	9.3244e-05	0.088365	liquid
450.00	4.8100	5829.5	0.00017154	24.861	25.686	63.165	203.68	261.66	506.25	0.15207	9.3524e-05	0.088459	liquid
450.00	4.9100	5835.2	0.00017137	24.841	25.682	63.118	203.66	261.41	508.48	0.14653	9.3802e-05	0.088553	liquid
450.00	5.0100	5841.0	0.00017120	24.821	25.678	63.072	203.65	261.16	510.69	0.14110	9.4078e-05	0.088645	liquid
450.00	5.1100	5846.7	0.00017104	24.801	25.675	63.026	203.63	260.92	512.89	0.13578	9.4353e-05	0.088738	liquid
450.00	5.2100	5852.3	0.00017087	24.781	25.671	62.980	203.62	260.68	515.06	0.13057	9.4626e-05	0.088830	liquid
450.00	5.3100	5857.9	0.00017071	24.762	25.668	62.934	203.60	260.45	517.22	0.12546	9.4898e-05	0.088921	liquid
450.00	5.4100	5863.4	0.00017055	24.742	25.665	62.889	203.59	260.22	519.36	0.12045	9.5168e-05	0.089012	liquid
450.00	5.5100	5868.9	0.00017039	24.723	25.662	62.845	203.58	260.00	521.49	0.11553	9.5437e-05	0.089102	liquid
450.00	5.6100	5874.3	0.00017023	24.704	25.659	62.800	203.56	259.78	523.60	0.11071	9.5704e-05	0.089192	liquid
450.00	5.7100	5879.7	0.00017008	24.685	25.656	62.756	203.55	259.56	525.69	0.10599	9.5970e-05	0.089281	liquid
450.00	5.8100	5885.0	0.00016992	24.666	25.653	62.713	203.54	259.35	527.77	0.10135	9.6234e-05	0.089370	liquid
450.00	5.9100	5890.3	0.00016977	24.647	25.651	62.669	203.53	259.14	529.83	0.096793	9.6497e-05	0.089459	liquid
450.00	6.0100	5895.5	0.00016962	24.629	25.648	62.626	203.51	258.94	531.87	0.092322	9.6759e-05	0.089547	liquid
450.00	6.1100	5900.7	0.00016947	24.610	25.646	62.583	203.50	258.74	533.91	0.087931	9.7020e-05	0.089635	liquid
450.00	6.2100	5905.9	0.00016932	24.592	25.644	62.540	203.49	258.54	535.92	0.083620	9.7279e-05	0.089722	liquid
450.00	6.3100	5911.0	0.00016918	24.574	25.642	62.498	203.48	258.35	537.93	0.079384	9.7537e-05	0.089809	liquid
450.00	6.4100	5916.1	0.00016903	24.556	25.640	62.456	203.47	258.16	539.92	0.075222	9.7793e-05	0.089895	liquid
450.00	6.5100	5921.1	0.00016889	24.538	25.638	62.414	203.46	257.97	541.89	0.071132	9.8049e-05	0.089982	liquid
450.00	6.6100	5926.1	0.00016875	24.521	25.636	62.373	203.45	257.79	543.85	0.067112	9.8303e-05	0.090067	liquid
450.00	6.7100	5931.0	0.00016860	24.503	25.634	62.332	203.44	257.61	545.80	0.063160	9.8556e-05	0.090153	liquid
450.00	6.8100	5935.9	0.00016847	24.485	25.633	62.291	203.43	257.43	547.74	0.059274	9.8808e-05	0.090237	liquid
450.00	6.9100	5940.8	0.00016833	24.468	25.631	62.250	203.42	257.25	549.66	0.055453	9.9059e-05	0.090322	liquid
450.00	7.0100	5945.7	0.00016819	24.451	25.630	62.210	203.41	257.08	551.57	0.051694	9.9308e-05	0.090406	liquid
450.00	7.1100	5950.5	0.00016805	24.434	25.629	62.169	203.40	256.91	553.47	0.047997	9.9557e-05	0.090490	liquid
450.00	7.2100	5955.2	0.00016792	24.417	25.627	62.129	203.39	256.74	555.36	0.044359	9.9804e-05	0.090573	liquid
450.00	7.3100	5960.0	0.00016779	24.400	25.626	62.090	203.38	256.58	557.23	0.040779	0.00010005	0.090656	liquid
450.00	7.4100	5964.7	0.00016765	24.383	25.625	62.050	203.38	256.42	559.10	0.037255	0.00010030	0.090739	liquid
450.00	7.5100	5969.3	0.00016752	24.366	25.624	62.011	203.37	256.26	560.95	0.033787	0.00010054	0.090822	liquid
450.00	7.6100	5973.9	0.00016739	24.350	25.624	61.972	203.36	256.10	562.79	0.030372	0.00010078	0.090904	liquid
450.00	7.7100	5978.5	0.00016726	24.333	25.623	61.933	203.35	255.95	564.62	0.027010	0.00010103	0.090985	liquid
450.00	7.8100	5983.1	0.00016714	24.317	25.622	61.895	203.34	255.80	566.44	0.023698	0.00010127	0.091067	liquid
450.00	7.9100	5987.6	0.00016701	24.301	25.622	61.856	203.34	255.65	568.24	0.020437	0.00010151	0.091148	liquid
450.00	8.0100	5992.1	0.00016689	24.284	25.621	61.818	203.33	255.50	570.04	0.017224	0.00010175	0.091229	liquid
450.00	8.1100	5996.6	0.00016676	24.268	25.621	61.780	203.32	255.35	571.83	0.014059	0.00010199	0.091309	liquid
450.00	8.2100	6001.1	0.00016664	24.252	25.620	61.742	203.32	255.21	573.60	0.010941	0.00010222	0.091389	liquid
450.00	8.3100	6005.5	0.00016651	24.236	25.620	61.705	203.31	255.07	575.37	0.0078672	0.00010246	0.091469	liquid
450.00	8.4100	6009.9	0.00016639	24.221	25.620	61.667	203.30	254.93	577.13	0.0048381	0.00010270	0.091548	liquid
450.00	8.5100	6014.2	0.00016627	24.205	25.620	61.630	203.30	254.79	578.87	0.0018523	0.00010293	0.091628	liquid
450.00	8.6100	6018.5	0.00016615	24.189	25.620	61.593	203.29	254.65	580.61	-0.0010911	0.00010317	0.091707	liquid
450.00	8.7100	6022.8	0.00016603	24.174	25.620	61.556	203.28	254.52	582.34	-0.0039933	0.00010340	0.091785	liquid
450.00	8.8100	6027.1	0.00016592	24.158	25.620	61.520	203.28	254.39	584.05	-0.0068549	0.00010363	0.091864	liquid
450.00	8.9100	6031.4	0.00016580	24.143	25.620	61.484	203.27	254.26	585.76	-0.0096771	0.00010386	0.091942	liquid
450.00	9.0100	6035.6	0.00016568	24.128	25.621	61.447	203.27	254.13	587.46	-0.012461	0.00010409	0.092019	liquid
450.00	9.1100	6039.8	0.00016557	24.113	25.621	61.411	203.26	254.00	589.15	-0.015206	0.00010432	0.092097	liquid
450.00	9.2100	6043.9	0.00016546	24.098	25.621	61.375	203.26	253.87	590.83	-0.017915	0.00010455	0.092174	liquid
450.00	9.3100	6048.1	0.00016534	24.083	25.622	61.340	203.25	253.75	592.50	-0.020587	0.00010478	0.092251	liquid
450.00	9.4100	6052.2	0.00016523	24.068	25.622	61.304	203.24	253.63	594.17	-0.023224	0.00010501	0.092328	liquid
450.00	9.5100	6056.3	0.00016512	24.053	25.623	61.269	203.24	253.51	595.82	-0.025826	0.00010524	0.092404	liquid
450.00	9.6100	6060.3	0.00016501	24.038	25.624	61.234	203.24	253.39	597.47	-0.028394	0.00010546	0.092481	liquid
450.00	9.7100	6064.4	0.00016490	24.023	25.624	61.199	203.23	253.27	599.11	-0.030929	0.00010569	0.092557	liquid
450.00	9.8100	6068.4	0.00016479	24.009	25.625	61.164	203.23	253.15	600.74	-0.033431	0.00010591	0.092632	liquid
450.00	9.9100	6072.4	0.00016468	23.994	25.626	61.129	203.22	253.04	602.36	-0.035902	0.00010614	0.092708	liquid
450.00	10.010	6076.4	0.00016457	23.980	25.627	61.095	203.22	252.93	603.98	-0.038341	0.00010636	0.092783	liquid
