temperature / K,pressure / bar,viscosity / mPas,phase
450.0,0.1,0.009434,vapor
450.0,1.1,0.0094218,vapor
450.0,2.1,0.009433899999999999,vapor
450.0,3.1,0.0094759,vapor
450.0,4.1,0.0095515,vapor
450.0,5.1,0.00966,vapor
450.0,6.1,0.009798399999999999,vapor
450.0,7.1,0.0099619,vapor
450.0,8.1,0.010146,vapor
450.0,9.1,0.010348,vapor
450.0,10.1,0.010565,vapor
450.0,11.1,0.010798,vapor
450.0,12.1,0.011049999999999999,vapor
450.0,12.329,0.011111,vapor
450.0,12.329,0.082036,liquid
450.0,13.1,0.082329,liquid
450.0,14.1,0.082705,liquid
450.0,15.1,0.083076,liquid
450.0,16.1,0.08344299999999999,liquid
450.0,17.1,0.083805,liquid
450.0,18.1,0.084163,liquid
450.0,19.1,0.08451800000000001,liquid
450.0,20.099999999999998,0.084868,liquid
450.0,21.1,0.085215,liquid
450.0,22.1,0.085558,liquid
450.0,23.1,0.08589699999999999,liquid
450.0,24.1,0.086233,liquid
450.0,25.1,0.08656599999999999,liquid
450.0,26.1,0.086896,liquid
450.0,27.1,0.087223,liquid
450.0,28.1,0.08754699999999999,liquid
450.0,29.1,0.087868,liquid
450.0,30.1,0.088187,liquid
450.0,31.1,0.088502,liquid
450.0,32.1,0.08881499999999999,liquid
450.0,33.1,0.089126,liquid
450.0,34.1,0.089434,liquid
450.0,35.1,0.08974,liquid
450.0,36.1,0.090043,liquid
450.0,37.1,0.090344,liquid
450.0,38.1,0.090643,liquid
450.0,39.1,0.09094,liquid
450.0,40.1,0.091235,liquid
450.0,41.1,0.091528,liquid
450.0,42.1,0.091818,liquid
450.0,43.1,0.09210700000000001,liquid
450.0,44.1,0.09239399999999999,liquid
450.0,45.1,0.092679,liquid
450.0,46.1,0.09296199999999999,liquid
450.0,47.1,0.09324400000000001,liquid
450.0,48.1,0.093524,liquid
450.0,49.1,0.093802,liquid
450.0,50.1,0.094078,liquid
450.0,51.1,0.09435299999999999,liquid
450.0,52.1,0.094626,liquid
450.0,53.1,0.094898,liquid
450.0,54.1,0.09516799999999999,liquid
450.0,55.1,0.095437,liquid
450.0,56.1,0.095704,liquid
450.0,57.1,0.09597,liquid
450.0,58.1,0.096234,liquid
450.0,59.1,0.09649699999999999,liquid
450.0,60.1,0.096759,liquid
450.0,61.1,0.09702,liquid
450.0,62.1,0.097279,liquid
450.0,63.1,0.097537,liquid
450.0,64.1,0.097793,liquid
450.0,65.1,0.098049,liquid
450.0,66.1,0.098303,liquid
450.0,67.1,0.09855599999999999,liquid
450.0,68.1,0.098808,liquid
450.0,69.1,0.099059,liquid
450.0,70.1,0.09930800000000001,liquid
450.0,71.1,0.09955699999999999,liquid
450.0,72.1,0.09980399999999999,liquid
450.0,73.1,0.10005,liquid
450.0,74.1,0.1003,liquid
450.0,75.1,0.10053999999999999,liquid
450.0,76.1,0.10078,liquid
450.0,77.1,0.10103,liquid
450.0,78.1,0.10127,liquid
450.0,79.1,0.10150999999999999,liquid
450.0,80.1,0.10175000000000001,liquid
450.0,81.1,0.10199,liquid
450.0,82.10000000000001,0.10221999999999999,liquid
450.0,83.10000000000001,0.10246000000000001,liquid
450.0,84.1,0.1027,liquid
450.0,85.1,0.10293000000000001,liquid
450.0,86.1,0.10317,liquid
450.0,87.1,0.1034,liquid
450.0,88.1,0.10363,liquid
450.0,89.1,0.10386,liquid
450.0,90.1,0.10409,liquid
450.0,91.1,0.10432,liquid
450.0,92.1,0.10454999999999999,liquid
450.0,93.1,0.10478,liquid
450.0,94.1,0.10500999999999999,liquid
450.0,95.1,0.10524,liquid
450.0,96.1,0.10546,liquid
450.0,97.1,0.10568999999999999,liquid
450.0,98.1,0.10590999999999999,liquid
450.0,99.1,0.10614,liquid
450.0,100.1,0.10636,liquid
