substance,tc,pc,rhoc,tc_exp,pc_exp,rhoc_exp
methane,195.30,5.15,154.45,190.6,4.6,162.7
ethane,311.38,5.49,205.84,305.3,4.9,206.6
propane,376.20,4.77,219.98,369.8,4.2,220.5
n-butane,432.68,4.27,228.04,425.1,3.8,228.0
pentane,476.44,3.81,238.14,469.7,3.4,232.0
hexane,515.29,3.44,241.16,507.8,3.0,233.2
heptane,547.33,3.06,233.76,540.1,2.7,232.0
octane,576.72,2.77,227.83,569.3,2.5,235.0
nonane,602.20,2.52,224.89,594.6,2.3,232.1
decane,626.37,2.31,219.85,617.7,2.1,233.3
dodecane,668.75,1.99,214.26,658.2,1.8,221.4
pentadecane,720.98,1.61,194.23,708.0,1.5,212.4
eicosane,786.33,1.21,174.91,768.0,1.1,241.6
methanol,547.73,12.21,260.59,512.6,8.1,328.4
ethanol,554.41,8.83,247.96,514.0,6.3,276.4
1-propanol,560.43,6.89,256.34,536.9,5.2,275.2
1-butanol,583.97,5.50,253.86,562.0,4.5,270.5
tetrafluoromethane [r14],232.77,4.14,644.29,227.5,3.8,625.6
hexafluoroethane [r116],295.46,3.24,634.96,293.0,3.0,613.3
perfluoropropane [r218],347.88,2.79,648.71,345.0,2.6,628.0
perfluorobutane,386.86,2.38,635.61,386.3,2.3,599.8
perfluoropentane,421.36,2.13,634.72,420.6,2.0,609.5
fluorine,146.20,5.66,559.47,144.4,5.2,592.9
carbon dioxide,307.00,7.86,472.15,304.1,7.4,467.6
benzene,568.33,5.51,307.69,562.1,4.9,309.0
toluene,600.25,4.73,301.21,591.8,4.1,292.0
